Name|Brewery|Style|Rating
25th Anniversary Series: Triple Elijah Craig Barrel Bronze Label|Central Waters Brewing Company|Stout - Imperial / Double|4.65 in 2024
25th Anniversary Series: B&E’S Double Barrel Maple Bourbon Stout Green Label|Central Waters Brewing Company|Stout - Imperial / Double|4.63 in 2024
Double Bourbon Barrel German Chocolate Cake|608 Brewing Company|Stout - Imperial / Double Pastry|4.61 in 2024
BA Coconut Rules Everything Around Me (2024)|608 Brewing Company|Stout - Imperial / Double Pastry|4.59 in 2024
The Wolf – Double Barrel (2024)|3 Sheeps Brewing Company|Stout - Imperial / Double|4.58 in 2024
Beyonder|608 Brewing Company|Stout - Imperial / Double Pastry|4.58 in 2024
Veneration – Double Barrel – 2024|3 Sheeps Brewing Company|Belgian Quadrupel|4.54 in 2024
Veneration – 1792|3 Sheeps Brewing Company|Belgian Quadrupel|4.52 in 2024
Bourbon Barrel Aged Uber Joe (2024)|3 Sheeps Brewing Company|Stout - Imperial / Double Coffee|4.48 in 2024
The Leap Beer (2024)|Sahale Ale Works|Barleywine - English|4.47 in 2024
Deeply Rooted – Double Barrel|3 Sheeps Brewing Company|Barleywine - English|4.45 in 2024
Veneration (2024)|3 Sheeps Brewing Company|Belgian Quadrupel|4.45 in 2024
BA Blueberry Coconut Crisp|608 Brewing Company|Sour - Fruited|4.42 in 2024
Barrel Aged OCC: Colombia|Eagle Park Brewing Company|Stout - Imperial / Double Coffee|4.41 in 2024
The Wolf – Blue Bottle Coffee|3 Sheeps Brewing Company|Stout - Imperial / Double Coffee|4.41 in 2024
5 Year Aged Brewer’s Reserve Bourbon Barrel Barleywine|Central Waters Brewing Company|Barleywine - American|4.41 in 2024
Superdelic Indemnity|Amorphic Beer|IPA - Imperial / Double New England / Hazy|4.4 in 2024
Barrel Aged Crumbo Jumbo|The Brewing Projekt|Barleywine - Other|4.39 in 2024
Barrel Aged William 1066 Barleywine|Explorium|Barleywine - American|4.38 in 2024
WI Whiskey Fest Barrel Aged Stout|1840 Brewing Company|Stout - Imperial / Double Milk|4.37 in 2024
Wisconsin Belgian Red (2024)|New Glarus Brewing Company|Fruit Beer|4.37 in 2024
4 Year Aged Brewer’s Reserve Bourbon Barrel Barleywine|Central Waters Brewing Company|Barleywine - American|4.36 in 2024
Prickly Pear Margarita|Perspective Brewing Company|Hard Seltzer|4.36 in 2024
Rumble Biscuits|Vennture Brew Co|Barleywine - Other|4.35 in 2024
Tenebrous With Honey And Coffee|3 Sheeps Brewing Company|Stout - Russian Imperial|4.35 in 2024
Barrel Aged Hazelnut Imperial Stout|Untitled Art|Stout - Imperial / Double Milk|4.34 in 2024
Forgotten 92519|Raised Grain Brewing Company|Barleywine - English|4.34 in 2024
Double Barrel Iced Barleywine|Untitled Art|Barleywine - Other|4.33 in 2024
Everything Breakfast|G5 Brewing Company|Stout - Pastry|4.33 in 2024
German Chocolate Cake Stout|Untitled Art|Stout - Pastry|4.32 in 2024
Fruit Float Gluten Free Sour|Untitled Art|Gluten-Free|4.32 in 2024
Mixed Berry Chomp Chomp|The Brewing Projekt|Sour - Smoothie / Pastry|4.3 in 2024
Pineapple Demogorgen In the Upside Down|Young Blood Beer Company|Sour - Fruited|4.29 in 2024
Barrel Aged Italian Drinking Chocolate|1840 Brewing Company|Stout - Imperial / Double Milk|4.29 in 2024
Serendipity|New Glarus Brewing Company|Fruit Beer|4.28 in 2024
Acceptable For Breakfast|Gravity Box Brewing Company|Stout - Russian Imperial|4.27 in 2024
Acceptable For Breakfast|Gravity Box Brewing Company|Stout - Russian Imperial|4.27 in 2024
It’s Spelled Y’our|Young Blood Beer Company|Sour - Fruited|4.27 in 2024
Strawberry Rhubarb (2024)|New Glarus Brewing Company|Fruit Beer|4.26 in 2024
BA High Rye|Explorium|Stout - Other|4.26 in 2024
Many Phases (Blend 005)|Supermoon Beer Company|Farmhouse Ale - Other|4.25 in 2024
Hard Root Beer|Explorium|Hard Seltzer|4.25 in 2024
Peach Mango Smoothie|Untitled Art|Hard Seltzer|4.24 in 2024
Blackberry Drop Top|Stubborn Brothers Brewery|Shandy / Radler|4.24 in 2024
FluffaNutta|608 Brewing Company|Stout - Milk / Sweet|4.24 in 2024
Extreme Haze the Lord|Component Brewing Company|IPA - Triple New England / Hazy|4.23 in 2024
R & D Bourbon Barrel Scotch Ale|New Glarus Brewing Company|Scotch Ale / Wee Heavy|4.23 in 2024
Sleepless Knights|1840 Brewing Company|Porter - Imperial / Double Coffee|4.22 in 2024
Brewer’s Reserve Bourbon Barrel Scotch Ale|Central Waters Brewing Company|Scotch Ale / Wee Heavy|4.22 in 2024
Black Friday (2024)|Lakefront Brewery|Stout - Russian Imperial|4.22 in 2024
Kohia Indemnity|Amorphic Beer|IPA - Imperial / Double New England / Hazy|4.21 in 2024
DDH Bowie’s Space Suit HBC 586|Eagle Park Brewing Company|IPA - Imperial / Double New England / Hazy|4.21 in 2024
Why Is the Cake Gone? (2024)|Central Waters Brewing Company|Porter - Imperial / Double|4.2 in 2024
Smoofee Sour – Raspberry Mandarin And Vanilla|The Brewing Projekt|Sour - Smoothie / Pastry|4.2 in 2024
Bourbon Barrel-Aged Imperial Oatmeal Stout|Lakefront Brewery|Stout - Imperial / Double Oatmeal|4.2 in 2024
Floofy Chonks|Amorphic Beer|IPA - Triple New England / Hazy|4.2 in 2024
Topher Grace? No, Absolutely Not|Young Blood Beer Company|Sour - Smoothie / Pastry|4.19 in 2024
Maple Job|Fifth Ward Brewing Company|Stout - Other|4.19 in 2024
DDH Demon Haze|Eagle Park Brewing Company|IPA - New England / Hazy|4.18 in 2024
Hazin’ On A Sunny Afternoon|1840 Brewing Company|IPA - American|4.18 in 2024
Cellargeist|Supermoon Beer Company|Farmhouse Ale - Other|4.18 in 2024
Mango Dragon Imperial Smoothie|Untitled Art|Sour - Fruited Berliner Weisse|4.18 in 2024
Bowies Space Suit: HBC 630|Eagle Park Brewing Company|IPA - New England / Hazy|4.18 in 2024
DDH Demon Haze|Eagle Park Brewing Company|IPA - New England / Hazy|4.18 in 2024
Hazin’ On A Sunny Afternoon|1840 Brewing Company|IPA - American|4.18 in 2024
French Toast|District 1 Brewing Company|Stout - Milk / Sweet|4.17 in 2024
500|608 Brewing Company|IPA - Imperial / Double|4.17 in 2024
Roll Out the Barrel (2024)|3 Sheeps Brewing Company|Märzen|4.16 in 2024
Deep Dark Secret Aged in Bulleit Bourbon Barrels|Raised Grain Brewing Company|Porter - Imperial / Double|4.16 in 2024
BA Scotch Ale|Hop Yard Ale Works|Scotch Ale / Wee Heavy|4.16 in 2024
Salty Dog Salted Caramel Porter|Skeleton Crew Brew|Porter - Other|4.16 in 2024
Seven|Fifth Ward Brewing Company|IPA - Triple|4.16 in 2024
STONELINE IPA|1840 Brewing Company|IPA - New England / Hazy|4.16 in 2024
Cuvée 24|Foxtown Brewing|Strong Ale - Other|4.16 in 2024
Moka Mon!|The Lone Girl Brewing Company|Blonde / Golden Ale - Other|4.16 in 2024
Brewers’ Reserve Imperial Pumpkin Aged 7 Years|Lakefront Brewery|Pumpkin / Yam Beer|4.15 in 2024
Belgian Golden Strong|Stone Arch Brewpub|Belgian Strong Golden Ale|4.15 in 2024
Deez Nutz- PB Milk Stout|Gravity Box Brewing Company|Stout - Milk / Sweet|4.15 in 2024
Sensitive King|Supermoon Beer Company|Belgian Tripel|4.15 in 2024
Porte Des Morts Cherry|Hidden Cave Cidery|Cider - Other Fruit|4.15 in 2024
Maple Coffee Stout|Untitled Art|Stout - Coffee|4.15 in 2024
Deez Nutz- PB Milk Stout|Gravity Box Brewing Company|Stout - Milk / Sweet|4.15 in 2024
Sensitive King|Supermoon Beer Company|Belgian Tripel|4.15 in 2024
Headless Heron (2024)|Central Waters Brewing Company|Pumpkin / Yam Beer|4.14 in 2024
G5 Year|G5 Brewing Company|IPA - Triple New England / Hazy|4.14 in 2024
Recombobulation|Milwaukee Brewing Company|Dark Ale|4.14 in 2024
Blueberry Cheesecake|Explorium|Sour - Fruited Berliner Weisse|4.14 in 2024
Farn|Supermoon Beer Company|Farmhouse Ale - Saison|4.14 in 2024
Decade Delight|Badger State Brewing|Porter - Baltic|4.14 in 2024
Why Is the Cake Gone?|Central Waters Brewing Company|Porter - Imperial / Double|4.14 in 2024
Recombobulation|Milwaukee Brewing Company|Dark Ale|4.14 in 2024
Blueberry Cheesecake|Explorium|Sour - Fruited Berliner Weisse|4.14 in 2024
Sweet Clementine (Gluten-Free Smoothie)|Untitled Art|Gluten-Free|4.13 in 2024
WHITE CHOCOLATE MOCHA STOUT|Jacob Leinenkugel Brewing Company|Stout - Other|4.13 in 2024
Barrel Aged Strong Ale|Giant Jones Brewing Company|Strong Ale - Other|4.13 in 2024
Hangry Heart|The Brewing Projekt|Stout - Pastry|4.13 in 2024
Triple Debaucherye – Barrel Aged Doppelbock|McFleshman's Brewing Company|Bock - Doppelbock|4.13 in 2024
Mango Cherry Dragonfruit Gluten-Free Smoothie|Untitled Art|Gluten-Free|4.12 in 2024
Tabelbear|Supermoon Beer Company|Sour - Other|4.12 in 2024
Pineapple Lime Tajin Bruv|Vennture Brew Co|Sour - Berliner Weisse|4.12 in 2024
Limes & Crimes|608 Brewing Company|Sour - Fruited Gose|4.12 in 2024
Old Fashioned Hard Cider|Von Stiehl Winery • Distillery • Cidery|Cider - Other Fruit|4.12 in 2024
Tangerine Dream|Rustic Road Brewing Company|IPA - Milkshake|4.12 in 2024
BOTM’s Up|Eagle Park Brewing Company|IPA - Milkshake|4.12 in 2024
Eric B. & Rakau|1840 Brewing Company|IPA - Imperial / Double|4.11 in 2024
Closer Enough To More Perfect|Working Draft Beer Company|IPA - Triple|4.11 in 2024
Forest Spirit|1840 Brewing Company|IPA - Imperial / Double|4.1 in 2024
Brandy Barrel-Aged Imperial Pumpkin Ale (2024)|Lakefront Brewery|Pumpkin / Yam Beer|4.1 in 2024
Major Tom|Eagle Park Brewing Company|IPA - Milkshake|4.1 in 2024
Rattle the Stars|608 Brewing Company|IPA - Fruited|4.09 in 2024
Gin Barrel Aged Ode Rice Lager|Central Waters Brewing Company|Lager - American|4.09 in 2024
Black Friday Triple Black IPA (2024)|Lakefront Brewery|IPA - Black / Cascadian Dark Ale|4.09 in 2024
Sap Sucker Barrel Aged Maple Porter (2024, Willet Rye And Bourbon Barrels)|Badger State Brewing|Porter - Other|4.09 in 2024
Mango Pineapple Cowabunga|The Brewing Projekt|Sour - Fruited Gose|4.09 in 2024
Carpe Diem|Zambaldi Beer|Stout - White / Golden|4.08 in 2024
Underground Cider: Pineapple|Badger State Brewing|Cider - Sweet|4.08 in 2024
Turtlator|1840 Brewing Company|Bock - Doppelbock|4.08 in 2024
Pumpkin Spiced Buzzy Badger|Badger State Brewing|Brown Ale - Other|4.08 in 2024
Carpe Diem|Zambaldi Beer|Stout - White / Golden|4.08 in 2024
Underground Cider: Pineapple|Badger State Brewing|Cider - Sweet|4.08 in 2024
Turtlator|1840 Brewing Company|Bock - Doppelbock|4.08 in 2024
Wiings|Supermoon Beer Company|Farmhouse Ale - Grisette|4.07 in 2024
Strawberry PB&J Honees Honees|Oliphant Brewing|Blonde / Golden Ale - Other|4.07 in 2024
6th Anniversary – Pastry Gose|608 Brewing Company|Sour - Fruited Gose|4.07 in 2024
Zwickel|New Glarus Brewing Company|Kellerbier / Zwickelbier|4.07 in 2024
Short Palindromic Repeats|Amorphic Beer|IPA - American|4.07 in 2024
The Kissers Monday Night Special|Tyranena Brewing Co.|Stout - Imperial / Double Oatmeal|4.06 in 2024
Brunch At Granny’s|Mosinee Brewing Company|Spiced / Herbed Beer|4.06 in 2024
Blue Rad|District 1 Brewing Company|Shandy / Radler|4.06 in 2024
Grooner|Supermoon Beer Company|Pale Ale - American|4.06 in 2024
Peanut Brown|Mosinee Brewing Company|Brown Ale - English|4.06 in 2024
Joint Beer Fest 2024: Supermoon|Eagle Park Brewing Company|Other|4.06 in 2024
Early Bird|Central Waters Brewing Company|Sour - Other|4.05 in 2024
Six Paper Joint|1840 Brewing Company|IPA - Triple|4.05 in 2024
Shuttered Saloons|1840 Brewing Company|Schwarzbier|4.05 in 2024
Punchbowl Piquette|Supermoon Beer Company|Farmhouse Ale - Other|4.05 in 2024
BirdsRye Bulleit Rye Barrel-Aged|Raised Grain Brewing Company|Belgian Tripel|4.05 in 2024
Sweater Weather|Red Eye Brewing Company|Porter - American|4.05 in 2024
Witbier Grand Cru|Giant Jones Brewing Company|Wheat Beer - Witbier / Blanche|4.05 in 2024
Early Bird|Central Waters Brewing Company|Sour - Other|4.05 in 2024
Six Paper Joint|1840 Brewing Company|IPA - Triple|4.05 in 2024
Shuttered Saloons|1840 Brewing Company|Schwarzbier|4.05 in 2024
Apple Ale (2024)|New Glarus Brewing Company|Brown Ale - Other|4.04 in 2024
Chocolate Coffee Peanut Butter Nitro Porter|Copper State Brewing Co.|Porter - American|4.04 in 2024
Astonishing Foresight|Hacienda Beer Co.|Wild Ale - American|4.04 in 2024
Snowed In Cinnamon|Mershon's Cidery|Cider - Herbed / Spiced / Hopped|4.04 in 2024
Kil’d Kenny|District 1 Brewing Company|Red Ale - Irish|4.04 in 2024
Weizenbock|Black Husky Brewing|Bock - Weizenbock|4.04 in 2024
Crow’s Nest Coconut Cream Ale|Skeleton Crew Brew|Cream Ale|4.04 in 2024
Alloueznian IX|Zambaldi Beer|Wheat Beer - Witbier / Blanche|4.03 in 2024
Doppelsticke Altbier|Giant Jones Brewing Company|Altbier - Sticke|4.03 in 2024
Fire Side Chats|Fifth Ward Brewing Company|Red Ale - Other|4.03 in 2024
Goedt Bier Belgian-Style Ale|Giant Jones Brewing Company|Historical Beer - Other|4.03 in 2024
Fire Side Chats|Fifth Ward Brewing Company|Red Ale - Other|4.03 in 2024
Goedt Bier Belgian-Style Ale|Giant Jones Brewing Company|Historical Beer - Other|4.03 in 2024
Koźlak|Giant Jones Brewing Company|Bock - Single / Traditional|4.03 in 2024
Black Bridge|District 1 Brewing Company|Lager - Tmavé (Czech Dark)|4.02 in 2024
Mr. Friendly|Some Nerve Brewing Company|Cream Ale|4.02 in 2024
Imperial Strawberry|Ciderboys Hard Cider|Cider - Applewine|4.01 in 2024
Deep State Vanilla Porter|Rebellion Brewing Company|Porter - American|4.01 in 2024
The Old Girl’s Sticky Buns|Duesterbeck’s Brewing Company|Stout - Oatmeal|4.01 in 2024
Birra Di Pane Forte|Giant Jones Brewing Company|Historical Beer - Other|4.01 in 2024
Birra Di Pane Forte|Giant Jones Brewing Company|Historical Beer - Other|4.01 in 2024
Gloe|Supermoon Beer Company|Farmhouse Ale - Saison|4.01 in 2024
Bananas Foster Job|Fifth Ward Brewing Company|Stout - Imperial / Double Oatmeal|4.01 in 2024
Where the Dark Wind Whirls|Sway Brewing + Blending|Lager - Dark|4.01 in 2024
Where You’re At|Supermoon Beer Company|Farmhouse Ale - Bière de Garde|4.01 in 2024
You Macchiato My Dreams Come True|MobCraft Beer|Stout - Coffee|4 in 2024
Oatmeal Cream Pie|Ahnapee Brewery|Other|4 in 2024
Westie Is My Bestie|District 1 Brewing Company|IPA - American|4 in 2024
Peaches, Simply (Blend I)|Black Rose Blending Co.|Wild Ale - American|4 in 2024
Peaches, Simply (Blend I)|Black Rose Blending Co.|Wild Ale - American|4 in 2024
Maple Bourbon Barrel Aged Honees Honees|Oliphant Brewing|Blonde / Golden Ale - Other|4 in 2024
Rayons Ago|Supermoon Beer Company|Pale Ale - Belgian|4 in 2024
Doc’s Bourbon Old-Fashioned 24|Raised Grain Brewing Company|Red Ale - Imperial / Double|4 in 2024
Smokin’ Nannerz|Working Draft Beer Company|Wheat Beer - Other|4 in 2024
Elephant Walk Belgian Tripel|AL. Ringling Brewing Co.|Belgian Tripel|3.99 in 2024
Up the Hatters|Perspective Brewing Company|Porter - Baltic|3.99 in 2024
Nutty Bill’s Peanut Butter Porter|Duesterbeck’s Brewing Company|Porter - Other|3.99 in 2024
Maori Tiger|Hop Yard Ale Works|IPA - New Zealand|3.99 in 2024
Maori Tiger|Hop Yard Ale Works|IPA - New Zealand|3.99 in 2024
Bitter Turtle Face|1840 Brewing Company|Pale Ale - American|3.99 in 2024
Wurkvar|Working Draft Beer Company|Pilsner - Czech / Bohemian|3.99 in 2024
Klosterade|Working Draft Beer Company|Bock - Doppelbock|3.99 in 2024
Duluth Coffee Pale Ale|Earth Rider Brewery|Pale Ale - American|3.98 in 2024
Councils Draught Amber|Hop Yard Ale Works|Red Ale - American Amber / Red|3.98 in 2024
Big Jim Bourbon Brown|Hillsboro Brewing Company|Brown Ale - Other|3.98 in 2024
O’Zapft Is|District 1 Brewing Company|Festbier|3.98 in 2024
DDH Everything Eventually Nelson Sauvin|Hacienda Beer Co.|Pale Ale - New England / Hazy|3.98 in 2024
Councils Draught Amber|Hop Yard Ale Works|Red Ale - American Amber / Red|3.98 in 2024
Black Top (2024)|New Glarus Brewing Company|IPA - Black / Cascadian Dark Ale|3.97 in 2024
DDH Everything Eventually Motueka|Hacienda Beer Co.|Pale Ale - New England / Hazy|3.97 in 2024
Outshined|Up North Brewing Company|IPA - Black / Cascadian Dark Ale|3.97 in 2024
Honeysuckle French Toast|Hidden Cave Cidery|Cider - Herbed / Spiced / Hopped|3.97 in 2024
It’s the Fluorescents|1840 Brewing Company|IPA - Sour|3.97 in 2024
Oktoberfest|Hop Yard Ale Works|Märzen|3.97 in 2024
A Woman’s Place Is In the Brewhouse|Working Draft Beer Company|IPA - White / Wheat|3.97 in 2024
West Bend Dark|1840 Brewing Company|Lager - Dark|3.97 in 2024
Outshined|Up North Brewing Company|IPA - Black / Cascadian Dark Ale|3.97 in 2024
Honeysuckle French Toast|Hidden Cave Cidery|Cider - Herbed / Spiced / Hopped|3.97 in 2024
It’s the Fluorescents|1840 Brewing Company|IPA - Sour|3.97 in 2024
Stump Rat|608 Brewing Company|Lager - Dark|3.96 in 2024
Gobias|Oliphant Brewing|Stout - Coffee|3.96 in 2024
The Devil Made Me Do It!|Tyranena Brewing Co.|Porter - Imperial / Double Coffee|3.96 in 2024
Orange County Hefe|Hop Yard Ale Works|Wheat Beer - Hefeweizen|3.96 in 2024
Edel-Pils|New Glarus Brewing Company|Pilsner - Other|3.96 in 2024
Frühlingzeit Maibock|Delafield Brewhaus|Bock - Hell / Maibock / Lentebock|3.96 in 2024
Looper|District 1 Brewing Company|Wheat Beer - Witbier / Blanche|3.96 in 2024
Headless Heron|Central Waters Brewing Company|Spiced / Herbed Beer|3.96 in 2024
Oatmeal Stout|Stone Arch Brewpub|Stout - Oatmeal|3.96 in 2024
This Is What Space Smells Like|1840 Brewing Company|IPA - Sour|3.95 in 2024
Imperial Pineapple|Ciderboys Hard Cider|Cider - Applewine|3.95 in 2024
Flutternudder|Sawmill Brewing Company|Brown Ale - American|3.95 in 2024
Where the Sun Sinks Low|Sway Brewing + Blending|Lager - Helles|3.95 in 2024
Blueberry Train Wheat Ale|Tribute Brewing Company|Wheat Beer - Fruited|3.95 in 2024
Mile of Munich|Lion's Tail Brewing Company|Lager - Munich Dunkel|3.95 in 2024
Gray Wolf|Ahnapee Brewery|Lager - Vienna|3.94 in 2024
